id_proveedor,tipo,ciudad,reclamos_asociados,monto_promedio_reclamado,pct_casos_observados,antiguedad
PROV-179300515200,taller,Guayaquil,224,13642.05,19.64,10
PROV-179317421300,taller,Manta,213,14863.09,19.72,10
PROV-179319397500,taller,Quito,210,14151.29,20.0,10
PROV-180369937800,taller,Guayaquil,231,12864.21,19.91,10
PROV-180443892500,taller,Guayaquil,226,14589.24,19.91,10
PROV-180444784300,taller,Guayaquil,244,15287.51,19.67,10
PROV-189176237900,taller,Quito,227,12618.71,19.82,10
PROV-210005677500,taller,Cuenca,223,14409.98,19.73,10
PROV-210005886200,taller,Cuenca,220,13324.03,20.0,10
PROV-210041219200,taller,Quito,244,13140.61,19.67,10
