id_asegurado,segmento,antiguedad,ciudad,num_polizas,reclamos_12m,mora_actual,score_cliente_simulado
ASEG-000083,corporativo,3,Guayaquil,8,8,True,96
ASEG-000084,retail,3,Quito,1,1,False,61
ASEG-000088,premium,3,Quito,3,3,False,71
ASEG-000090,retail,3,Manta,2,2,False,66
ASEG-000091,retail,2,Quito,1,1,False,58
ASEG-000093,retail,3,Cuenca,2,2,False,66
ASEG-000094,retail,2,Quito,1,1,False,58
ASEG-000095,retail,1,Guayaquil,1,1,False,55
ASEG-000096,premium,2,Quito,3,3,False,68
ASEG-000098,retail,1,Manta,2,2,False,60
ASEG-000099,retail,4,Quito,2,2,False,69
ASEG-000101,premium,1,Quito,4,4,True,70
ASEG-000102,retail,2,Cuenca,1,1,False,58
ASEG-000103,premium,4,Cuenca,3,3,False,74
ASEG-000104,premium,3,Quito,3,3,False,71
ASEG-000105,retail,2,Quito,2,2,False,63
ASEG-000107,retail,3,Cuenca,2,2,False,66
ASEG-000108,retail,4,Quito,2,2,False,69
ASEG-000109,retail,4,Guayaquil,2,2,False,69
ASEG-000110,retail,4,Quito,1,1,False,64
ASEG-000111,retail,3,Quito,1,1,False,61
ASEG-000112,premium,3,Cuenca,4,4,True,76
ASEG-000114,premium,1,Cuenca,3,3,False,65
ASEG-000116,retail,1,Quito,1,1,False,55
ASEG-000117,retail,2,Manta,2,2,False,63
ASEG-000118,retail,2,Guayaquil,2,2,False,63
ASEG-000119,retail,1,Guayaquil,2,2,False,60
ASEG-000121,retail,1,Guayaquil,1,1,False,55
ASEG-000122,premium,3,Quito,4,4,True,76
ASEG-000123,retail,3,Guayaquil,1,1,False,61
ASEG-000124,premium,2,Cuenca,4,4,True,73
ASEG-000125,premium,5,Manta,4,4,True,82
ASEG-000126,retail,2,Guayaquil,1,1,False,58
ASEG-000129,premium,4,Manta,3,3,False,74
ASEG-000131,retail,4,Guayaquil,1,1,False,64
ASEG-000133,retail,2,Guayaquil,2,2,False,63
ASEG-000134,retail,3,Manta,2,2,False,66
ASEG-000135,retail,2,Quito,2,2,False,63
ASEG-000136,premium,3,Guayaquil,5,5,True,81
ASEG-000137,premium,2,Manta,4,4,True,73
ASEG-000138,retail,2,Quito,2,2,False,63
ASEG-000140,premium,2,Cuenca,4,4,True,73
ASEG-000142,retail,1,Manta,2,2,False,60
ASEG-000143,retail,1,Guayaquil,2,2,False,60
ASEG-000144,premium,3,Manta,3,3,False,71
ASEG-000145,premium,4,Cuenca,3,3,False,74
ASEG-000146,retail,1,Guayaquil,2,2,False,60
ASEG-000147,premium,4,Quito,3,3,False,74
ASEG-000148,premium,3,Guayaquil,3,3,False,71
ASEG-000149,premium,2,Guayaquil,3,3,False,68
ASEG-000150,retail,4,Guayaquil,1,1,False,64
ASEG-000151,retail,1,Cuenca,1,1,False,55
ASEG-000152,premium,2,Manta,3,3,False,68
ASEG-000153,retail,2,Manta,1,1,False,58
ASEG-000154,retail,5,Guayaquil,1,1,False,67
ASEG-000155,premium,3,Guayaquil,3,3,False,71
ASEG-000156,retail,7,Guayaquil,2,2,False,78
ASEG-000157,retail,2,Guayaquil,1,1,False,58
ASEG-000158,retail,4,Quito,2,2,False,69
ASEG-000159,retail,2,Quito,2,2,False,63
ASEG-000160,premium,3,Cuenca,4,4,True,76
ASEG-000161,retail,2,Quito,2,2,False,63
ASEG-000163,retail,3,Cuenca,2,2,False,66
ASEG-000164,retail,2,Quito,1,1,False,58
ASEG-000167,retail,2,Guayaquil,2,2,False,63
ASEG-000168,retail,3,Cuenca,2,2,False,66
ASEG-000169,retail,4,Quito,2,2,False,69
ASEG-000170,premium,3,Quito,5,5,True,81
ASEG-000171,premium,4,Guayaquil,3,3,False,74
ASEG-000172,retail,3,Manta,2,2,False,66
ASEG-000173,retail,2,Quito,2,2,False,63
ASEG-000174,premium,3,Quito,4,4,True,76
ASEG-000175,retail,2,Cuenca,2,2,False,63
ASEG-000176,retail,1,Guayaquil,1,1,False,55
ASEG-000177,retail,3,Quito,2,2,False,66
ASEG-000178,premium,4,Quito,5,5,True,84
ASEG-000179,premium,2,Quito,4,4,True,73
ASEG-000180,retail,1,Guayaquil,2,2,False,60
ASEG-000181,retail,3,Quito,1,1,False,61
ASEG-000182,retail,3,Cuenca,1,1,False,61
ASEG-000183,retail,3,Quito,2,2,False,66
ASEG-000184,retail,1,Guayaquil,1,1,False,55
ASEG-000185,retail,2,Manta,1,1,False,58
ASEG-000186,retail,2,Manta,2,2,False,63
ASEG-000188,premium,3,Guayaquil,3,3,False,71
ASEG-000189,premium,2,Quito,3,3,False,68
ASEG-000190,retail,1,Quito,1,1,False,55
ASEG-000191,retail,1,Guayaquil,2,2,False,60
ASEG-000192,retail,1,Cuenca,1,1,False,55
ASEG-000193,retail,5,Cuenca,2,2,False,72
ASEG-000194,premium,2,Guayaquil,3,3,False,68
ASEG-000195,retail,2,Quito,1,1,False,58
ASEG-000196,retail,3,Quito,2,2,False,66
ASEG-000197,retail,2,Quito,1,1,False,58
ASEG-000198,retail,3,Cuenca,2,2,False,66
ASEG-000199,retail,4,Quito,1,1,False,64
ASEG-000200,retail,3,Guayaquil,1,1,False,61
ASEG-000201,retail,1,Quito,1,1,False,55
ASEG-000202,premium,2,Quito,3,3,False,68
ASEG-000203,retail,3,Quito,2,2,False,66
ASEG-000204,premium,4,Guayaquil,4,4,True,79
ASEG-000205,premium,3,Quito,3,3,False,71
ASEG-000206,premium,2,Manta,3,3,False,68
ASEG-000207,retail,3,Quito,1,1,False,61
ASEG-000208,premium,3,Quito,3,3,False,71
ASEG-000209,retail,4,Quito,1,1,False,64
ASEG-000210,retail,1,Guayaquil,1,1,False,55
ASEG-000211,retail,2,Cuenca,1,1,False,58
ASEG-000212,retail,3,Guayaquil,2,2,False,66
ASEG-000214,premium,4,Quito,3,3,False,74
ASEG-000215,retail,3,Quito,2,2,False,66
ASEG-000216,retail,2,Guayaquil,2,2,False,63
ASEG-000217,retail,2,Quito,2,2,False,63
ASEG-000218,retail,5,Cuenca,2,2,False,72
ASEG-000219,retail,6,Quito,2,2,False,75
ASEG-000220,retail,1,Quito,1,1,False,55
ASEG-000221,retail,2,Quito,2,2,False,63
ASEG-000222,retail,4,Quito,1,1,False,64
ASEG-000223,premium,4,Guayaquil,5,5,True,84
ASEG-000225,retail,2,Quito,2,2,False,63
ASEG-000226,retail,2,Guayaquil,2,2,False,63
ASEG-000228,retail,1,Quito,1,1,False,55
ASEG-000229,premium,3,Quito,3,3,False,71
ASEG-000230,premium,3,Cuenca,3,3,False,71
ASEG-000231,premium,3,Quito,3,3,False,71
ASEG-000232,retail,1,Quito,1,1,False,55
ASEG-000233,premium,3,Cuenca,5,5,True,81
ASEG-000234,retail,3,Quito,1,1,False,61
ASEG-000235,retail,3,Guayaquil,2,2,False,66
ASEG-000236,premium,4,Guayaquil,4,4,True,79
ASEG-000237,premium,3,Guayaquil,4,4,True,76
ASEG-000238,retail,3,Cuenca,2,2,False,66
ASEG-000239,premium,2,Guayaquil,3,3,False,68
ASEG-000240,retail,2,Quito,2,2,False,63
ASEG-000242,retail,2,Guayaquil,1,1,False,58
ASEG-000243,premium,4,Guayaquil,3,3,False,74
ASEG-000244,retail,3,Quito,1,1,False,61
ASEG-000246,retail,2,Guayaquil,2,2,False,63
ASEG-000247,retail,4,Manta,2,2,False,69
ASEG-000248,premium,4,Manta,3,3,False,74
ASEG-000249,retail,2,Quito,2,2,False,63
ASEG-000250,retail,3,Guayaquil,2,2,False,66
ASEG-000251,premium,2,Quito,3,3,False,68
ASEG-000252,retail,5,Quito,2,2,False,72
ASEG-000253,retail,3,Manta,2,2,False,66
ASEG-000254,retail,4,Quito,1,1,False,64
ASEG-000255,premium,3,Quito,4,4,True,76
ASEG-000256,premium,4,Quito,4,4,True,79
ASEG-000257,premium,3,Quito,5,5,True,81
ASEG-000258,premium,4,Guayaquil,4,4,True,79
ASEG-000259,retail,2,Cuenca,1,1,False,58
ASEG-000260,retail,3,Guayaquil,1,1,False,61
ASEG-000261,retail,1,Manta,1,1,False,55
ASEG-000262,retail,3,Cuenca,2,2,False,66
ASEG-000263,retail,2,Cuenca,2,2,False,63
ASEG-000264,premium,2,Manta,3,3,False,68
ASEG-000265,retail,3,Quito,1,1,False,61
ASEG-000266,retail,5,Quito,2,2,False,72
ASEG-000268,retail,2,Quito,2,2,False,63
ASEG-000269,corporativo,2,Manta,7,7,True,88
ASEG-000270,retail,2,Quito,2,2,False,63
ASEG-000271,premium,2,Quito,3,3,False,68
ASEG-000272,retail,3,Quito,1,1,False,61
ASEG-000273,retail,4,Guayaquil,1,1,False,64
ASEG-000275,retail,3,Cuenca,2,2,False,66
ASEG-000276,retail,1,Guayaquil,1,1,False,55
ASEG-000277,retail,4,Cuenca,1,1,False,64
ASEG-000278,premium,5,Guayaquil,5,5,True,87
ASEG-000279,premium,3,Manta,3,3,False,71
ASEG-000280,retail,4,Manta,1,1,False,64
ASEG-000281,premium,3,Quito,3,3,False,71
ASEG-000282,retail,1,Guayaquil,1,1,False,55
ASEG-000283,retail,4,Quito,2,2,False,69
ASEG-000284,retail,1,Guayaquil,1,1,False,55
ASEG-000286,retail,3,Guayaquil,2,2,False,66
ASEG-000287,premium,3,Quito,3,3,False,71
ASEG-000288,premium,2,Guayaquil,3,3,False,68
ASEG-000289,retail,3,Quito,1,1,False,61
ASEG-000290,premium,2,Quito,3,3,False,68
ASEG-000291,premium,4,Quito,4,4,True,79
ASEG-000292,premium,3,Quito,5,5,True,81
ASEG-000293,retail,1,Manta,1,1,False,55
ASEG-000294,retail,1,Cuenca,2,2,False,60
ASEG-000295,retail,3,Quito,1,1,False,61
ASEG-000296,premium,3,Cuenca,4,4,True,76
ASEG-000298,premium,3,Guayaquil,5,5,True,81
ASEG-000299,retail,1,Cuenca,1,1,False,55
ASEG-000300,premium,5,Cuenca,5,5,True,87
ASEG-000301,retail,2,Guayaquil,1,1,False,58
ASEG-000302,retail,1,Quito,1,1,False,55
ASEG-000303,premium,4,Guayaquil,4,4,True,79
ASEG-000304,premium,2,Guayaquil,5,5,True,78
ASEG-000305,retail,4,Quito,2,2,False,69
ASEG-000306,retail,3,Guayaquil,1,1,False,61
ASEG-000307,retail,3,Cuenca,2,2,False,66
ASEG-000308,premium,4,Guayaquil,5,5,True,84
ASEG-000311,retail,3,Quito,2,2,False,66
ASEG-000312,premium,2,Guayaquil,4,4,True,73
ASEG-000313,corporativo,3,Manta,7,7,True,91
ASEG-000314,retail,2,Guayaquil,1,1,False,58
ASEG-000315,retail,1,Guayaquil,1,1,False,55
ASEG-000316,retail,1,Quito,1,1,False,55
ASEG-000317,premium,3,Guayaquil,3,3,False,71
ASEG-000318,corporativo,4,Quito,6,6,True,89
ASEG-000319,retail,2,Cuenca,1,1,False,58
ASEG-000320,retail,3,Guayaquil,1,1,False,61
ASEG-000322,premium,2,Manta,3,3,False,68
ASEG-000323,retail,1,Cuenca,1,1,False,55
ASEG-000324,retail,3,Guayaquil,2,2,False,66
ASEG-000325,retail,3,Guayaquil,2,2,False,66
ASEG-000326,premium,2,Guayaquil,3,3,False,68
ASEG-000327,retail,1,Cuenca,1,1,False,55
ASEG-000328,retail,1,Quito,1,1,False,55
ASEG-000331,retail,1,Guayaquil,1,1,False,55
ASEG-000332,retail,2,Cuenca,1,1,False,58
ASEG-000333,premium,5,Manta,3,3,False,77
ASEG-000334,retail,2,Quito,2,2,False,63
ASEG-000335,retail,2,Guayaquil,1,1,False,58
ASEG-000336,retail,3,Guayaquil,1,1,False,61
ASEG-000337,retail,3,Guayaquil,2,2,False,66
ASEG-000338,retail,2,Guayaquil,2,2,False,63
ASEG-000339,retail,1,Guayaquil,1,1,False,55
ASEG-000340,retail,3,Manta,2,2,False,66
ASEG-000341,retail,2,Manta,1,1,False,58
ASEG-000342,retail,3,Guayaquil,2,2,False,66
ASEG-000343,premium,5,Quito,4,4,True,82
ASEG-000345,retail,1,Guayaquil,2,2,False,60
ASEG-000346,retail,2,Guayaquil,1,1,False,58
ASEG-000347,premium,4,Guayaquil,5,5,True,84
ASEG-000348,premium,4,Cuenca,4,4,True,79
ASEG-000349,premium,4,Guayaquil,3,3,False,74
ASEG-000350,retail,3,Quito,1,1,False,61
ASEG-000351,retail,2,Guayaquil,2,2,False,63
ASEG-000352,premium,6,Manta,3,3,False,80
ASEG-000353,retail,5,Cuenca,1,1,False,67
ASEG-000354,retail,2,Guayaquil,2,2,False,63
ASEG-000355,premium,4,Manta,5,5,True,84
ASEG-000356,retail,3,Manta,2,2,False,66
ASEG-000357,premium,4,Quito,3,3,False,74
ASEG-000358,retail,2,Manta,2,2,False,63
ASEG-000359,retail,1,Quito,1,1,False,55
ASEG-000360,retail,1,Cuenca,1,1,False,55
ASEG-000361,retail,2,Manta,1,1,False,58
ASEG-000362,premium,4,Cuenca,3,3,False,74
ASEG-000364,premium,2,Cuenca,5,5,True,78
ASEG-000365,retail,2,Quito,1,1,False,58
ASEG-000366,premium,2,Quito,3,3,False,68
ASEG-000367,retail,1,Quito,1,1,False,55
ASEG-000368,retail,3,Manta,2,2,False,66
ASEG-000369,retail,1,Manta,2,2,False,60
ASEG-000370,retail,2,Guayaquil,1,1,False,58
ASEG-000371,retail,2,Quito,2,2,False,63
ASEG-000372,retail,1,Quito,2,2,False,60
ASEG-000373,retail,4,Cuenca,1,1,False,64
ASEG-000375,retail,3,Guayaquil,1,1,False,61
ASEG-000376,retail,3,Guayaquil,1,1,False,61
ASEG-000377,retail,1,Guayaquil,1,1,False,55
ASEG-000378,retail,3,Quito,1,1,False,61
ASEG-000380,retail,2,Manta,1,1,False,58
ASEG-000381,premium,1,Manta,3,3,False,65
ASEG-000382,premium,4,Guayaquil,4,4,True,79
ASEG-000383,premium,3,Quito,3,3,False,71
ASEG-000385,retail,2,Manta,2,2,False,63
ASEG-000386,retail,2,Quito,2,2,False,63
ASEG-000388,retail,1,Quito,2,2,False,60
ASEG-000389,retail,2,Guayaquil,1,1,False,58
ASEG-000390,premium,2,Quito,3,3,False,68
ASEG-000391,retail,2,Guayaquil,1,1,False,58
ASEG-000392,premium,4,Cuenca,5,5,True,84
ASEG-000393,retail,3,Quito,2,2,False,66
ASEG-000394,retail,1,Quito,1,1,False,55
ASEG-000395,retail,1,Quito,2,2,False,60
ASEG-000396,retail,1,Cuenca,1,1,False,55
ASEG-000397,retail,2,Manta,2,2,False,63
ASEG-000398,retail,1,Quito,2,2,False,60
ASEG-000399,retail,1,Guayaquil,1,1,False,55
ASEG-000400,retail,1,Manta,1,1,False,55
ASEG-000401,retail,2,Quito,2,2,False,63
ASEG-000403,retail,2,Manta,1,1,False,58
ASEG-000404,premium,3,Guayaquil,4,4,True,76
ASEG-000406,retail,2,Guayaquil,2,2,False,63
ASEG-000407,premium,4,Manta,3,3,False,74
ASEG-000408,premium,2,Manta,3,3,False,68
ASEG-000409,retail,1,Guayaquil,1,1,False,55
ASEG-000410,retail,1,Quito,1,1,False,55
ASEG-000411,premium,3,Quito,3,3,False,71
ASEG-000412,retail,3,Cuenca,2,2,False,66
ASEG-000413,retail,1,Cuenca,1,1,False,55
ASEG-000414,retail,3,Guayaquil,2,2,False,66
ASEG-000415,retail,3,Quito,2,2,False,66
ASEG-000416,retail,1,Quito,1,1,False,55
ASEG-000417,premium,2,Quito,4,4,True,73
ASEG-000419,retail,6,Cuenca,1,1,False,70
ASEG-000420,retail,1,Cuenca,1,1,False,55
ASEG-000421,corporativo,4,Guayaquil,7,7,True,94
ASEG-000422,retail,3,Guayaquil,1,1,False,61
ASEG-000423,premium,3,Quito,4,4,True,76
ASEG-000424,premium,6,Quito,4,4,True,85
ASEG-000425,premium,4,Guayaquil,4,4,True,79
ASEG-000426,premium,3,Cuenca,4,4,True,76
ASEG-000427,corporativo,3,Guayaquil,8,8,True,96
ASEG-000428,retail,2,Guayaquil,2,2,False,63
ASEG-000429,premium,2,Quito,4,4,True,73
ASEG-000430,retail,2,Guayaquil,1,1,False,58
ASEG-000431,retail,3,Manta,2,2,False,66
ASEG-000432,corporativo,3,Guayaquil,7,7,True,91
ASEG-000434,retail,2,Guayaquil,2,2,False,63
ASEG-000435,premium,4,Guayaquil,4,4,True,79
ASEG-000436,retail,2,Guayaquil,1,1,False,58
ASEG-000437,retail,2,Cuenca,2,2,False,63
ASEG-000438,retail,3,Manta,2,2,False,66
ASEG-000439,retail,4,Quito,1,1,False,64
ASEG-000440,premium,2,Guayaquil,3,3,False,68
ASEG-000441,retail,1,Cuenca,2,2,False,60
ASEG-000442,premium,4,Guayaquil,3,3,False,74
ASEG-000443,retail,2,Manta,1,1,False,58
ASEG-000444,premium,3,Guayaquil,3,3,False,71
ASEG-000445,premium,4,Manta,4,4,True,79
ASEG-000446,retail,4,Quito,1,1,False,64
ASEG-000448,retail,4,Cuenca,2,2,False,69
ASEG-000449,premium,2,Guayaquil,3,3,False,68
ASEG-000450,retail,2,Quito,1,1,False,58
ASEG-000451,retail,1,Guayaquil,2,2,False,60
ASEG-000452,retail,2,Quito,2,2,False,63
ASEG-000453,retail,3,Manta,2,2,False,66
ASEG-000454,premium,3,Manta,3,3,False,71
ASEG-000455,premium,3,Quito,3,3,False,71
ASEG-000457,retail,3,Quito,1,1,False,61
ASEG-000458,premium,4,Manta,5,5,True,84
ASEG-000459,premium,3,Cuenca,3,3,False,71
ASEG-000460,retail,3,Guayaquil,2,2,False,66
ASEG-000461,retail,3,Quito,2,2,False,66
ASEG-000462,premium,3,Manta,5,5,True,81
ASEG-000463,retail,2,Manta,2,2,False,63
ASEG-000464,retail,2,Quito,2,2,False,63
ASEG-000465,premium,3,Guayaquil,3,3,False,71
ASEG-000466,corporativo,4,Quito,6,6,True,89
ASEG-000467,premium,3,Guayaquil,5,5,True,81
ASEG-000468,retail,2,Manta,2,2,False,63
ASEG-000469,retail,2,Guayaquil,2,2,False,63
ASEG-000470,premium,3,Quito,3,3,False,71
ASEG-000471,retail,1,Cuenca,2,2,False,60
ASEG-000472,retail,3,Quito,2,2,False,66
ASEG-000473,retail,4,Guayaquil,2,2,False,69
ASEG-000474,retail,1,Manta,1,1,False,55
ASEG-000475,corporativo,4,Quito,6,6,True,89
ASEG-000476,retail,3,Guayaquil,2,2,False,66
ASEG-000477,retail,1,Guayaquil,1,1,False,55
ASEG-000478,retail,1,Guayaquil,1,1,False,55
ASEG-000479,retail,2,Guayaquil,1,1,False,58
ASEG-000482,retail,5,Quito,2,2,False,72
ASEG-000484,retail,2,Guayaquil,2,2,False,63
ASEG-000485,retail,4,Guayaquil,2,2,False,69
ASEG-000486,retail,3,Manta,2,2,False,66
ASEG-000487,retail,3,Manta,2,2,False,66
ASEG-000488,retail,3,Quito,1,1,False,61
ASEG-000489,premium,4,Quito,3,3,False,74
ASEG-000491,premium,2,Cuenca,3,3,False,68
ASEG-000492,retail,1,Manta,1,1,False,55
ASEG-000493,premium,4,Guayaquil,3,3,False,74
ASEG-000494,premium,5,Guayaquil,3,3,False,77
ASEG-000495,premium,4,Guayaquil,4,4,True,79
ASEG-000496,retail,3,Quito,2,2,False,66
ASEG-000497,retail,1,Cuenca,1,1,False,55
ASEG-000499,retail,1,Manta,2,2,False,60
ASEG-000501,corporativo,4,Quito,6,6,True,89
ASEG-000502,retail,3,Quito,2,2,False,66
ASEG-000503,retail,3,Quito,1,1,False,61
ASEG-000504,retail,3,Guayaquil,2,2,False,66
ASEG-000506,premium,2,Manta,3,3,False,68
ASEG-000507,premium,1,Guayaquil,3,3,False,65
ASEG-000508,premium,3,Quito,4,4,True,76
ASEG-000509,premium,2,Quito,3,3,False,68
ASEG-000510,retail,2,Guayaquil,2,2,False,63
ASEG-000512,retail,1,Quito,1,1,False,55
ASEG-000513,premium,3,Guayaquil,5,5,True,81
ASEG-000515,retail,3,Quito,2,2,False,66
ASEG-000518,retail,4,Manta,2,2,False,69
ASEG-000519,retail,1,Quito,1,1,False,55
ASEG-000520,premium,3,Cuenca,3,3,False,71
ASEG-000521,retail,1,Quito,1,1,False,55
ASEG-000522,retail,3,Guayaquil,2,2,False,66
ASEG-000523,premium,3,Manta,4,4,True,76
ASEG-000525,premium,4,Quito,4,4,True,79
ASEG-000526,premium,4,Guayaquil,3,3,False,74
ASEG-000527,retail,3,Guayaquil,2,2,False,66
ASEG-000528,retail,2,Quito,1,1,False,58
ASEG-000529,retail,1,Guayaquil,1,1,False,55
ASEG-000530,premium,3,Cuenca,3,3,False,71
ASEG-000531,premium,4,Quito,5,5,True,84
ASEG-000532,premium,1,Manta,4,4,True,70
ASEG-000534,retail,2,Guayaquil,1,1,False,58
ASEG-000535,retail,1,Quito,2,2,False,60
ASEG-000537,retail,1,Cuenca,2,2,False,60
ASEG-000538,premium,3,Quito,5,5,True,81
ASEG-000539,retail,2,Manta,2,2,False,63
ASEG-000540,premium,4,Guayaquil,5,5,True,84
ASEG-000542,retail,1,Cuenca,1,1,False,55
ASEG-000543,retail,1,Guayaquil,1,1,False,55
ASEG-000544,retail,3,Guayaquil,2,2,False,66
ASEG-000545,retail,1,Quito,1,1,False,55
ASEG-000546,retail,1,Cuenca,2,2,False,60
ASEG-000547,retail,1,Guayaquil,1,1,False,55
ASEG-000548,retail,3,Guayaquil,1,1,False,61
ASEG-000550,corporativo,2,Quito,6,6,True,83
ASEG-000553,retail,2,Quito,2,2,False,63
ASEG-000555,premium,4,Quito,3,3,False,74
ASEG-000556,premium,2,Quito,3,3,False,68
ASEG-000557,retail,2,Guayaquil,1,1,False,58
ASEG-000558,premium,2,Manta,3,3,False,68
ASEG-000560,retail,1,Cuenca,1,1,False,55
ASEG-000562,retail,2,Manta,2,2,False,63
ASEG-000563,retail,2,Manta,2,2,False,63
ASEG-000565,retail,4,Quito,2,2,False,69
ASEG-000566,retail,2,Manta,1,1,False,58
ASEG-000567,retail,1,Guayaquil,2,2,False,60
ASEG-000568,retail,5,Cuenca,2,2,False,72
ASEG-000570,retail,4,Quito,1,1,False,64
ASEG-000571,retail,1,Quito,1,1,False,55
ASEG-000573,premium,2,Guayaquil,3,3,False,68
ASEG-000574,retail,2,Quito,2,2,False,63
ASEG-000575,retail,4,Guayaquil,1,1,False,64
ASEG-000576,retail,1,Manta,2,2,False,60
ASEG-000577,retail,4,Quito,2,2,False,69
ASEG-000578,retail,2,Quito,1,1,False,58
ASEG-000579,retail,2,Cuenca,2,2,False,63
ASEG-000580,retail,3,Quito,2,2,False,66
ASEG-000581,retail,1,Quito,2,2,False,60
ASEG-000583,retail,4,Quito,1,1,False,64
ASEG-000584,premium,4,Cuenca,3,3,False,74
ASEG-000585,premium,5,Quito,4,4,True,82
ASEG-000586,retail,3,Quito,1,1,False,61
ASEG-000587,premium,3,Guayaquil,5,5,True,81
ASEG-000588,premium,3,Guayaquil,3,3,False,71
ASEG-000589,premium,2,Guayaquil,3,3,False,68
ASEG-000590,retail,2,Cuenca,1,1,False,58
ASEG-000591,retail,3,Cuenca,2,2,False,66
ASEG-000592,retail,5,Cuenca,2,2,False,72
ASEG-000593,retail,1,Quito,1,1,False,55
ASEG-000595,retail,2,Guayaquil,1,1,False,58
ASEG-000596,retail,1,Manta,1,1,False,55
ASEG-000597,corporativo,3,Quito,7,7,True,91
ASEG-000598,premium,4,Manta,3,3,False,74
ASEG-000599,retail,2,Cuenca,2,2,False,63
ASEG-000600,premium,2,Quito,3,3,False,68
ASEG-000602,premium,3,Guayaquil,3,3,False,71
ASEG-000604,retail,2,Guayaquil,1,1,False,58
ASEG-000605,retail,3,Guayaquil,2,2,False,66
ASEG-000606,retail,3,Quito,2,2,False,66
ASEG-000607,retail,2,Quito,2,2,False,63
ASEG-000608,retail,2,Quito,2,2,False,63
ASEG-000609,retail,1,Manta,1,1,False,55
ASEG-000610,retail,3,Guayaquil,2,2,False,66
ASEG-000611,retail,2,Guayaquil,2,2,False,63
ASEG-000612,retail,4,Manta,2,2,False,69
ASEG-000613,premium,4,Quito,5,5,True,84
