id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,prima,suma_asegurada,deducible,canal_venta,ciudad,estado_poliza
POL-00018,ASEG-001002,vehiculos,2025-05-28,2026-12-10,1996.08,49902.12,2495.11,broker,Quito,vencida
POL-00019,ASEG-005974,vehiculos,2025-03-12,2025-09-24,223.93,5598.14,279.91,digital,Guayaquil,suspendida
POL-00020,ASEG-011552,vehiculos,2020-09-01,2021-12-27,2091.31,52282.66,2614.13,agencia,Guayaquil,mora
POL-00021,ASEG-004000,vehiculos,2025-07-06,2027-03-23,2900.32,72507.89,3625.39,directo,Quito,vigente
POL-00022,ASEG-003886,hogar,2022-05-11,2022-10-04,2747.46,68686.38,3434.32,broker,Manta,vencida
POL-00023,ASEG-004797,hogar,2026-03-27,2027-01-11,2092.19,52304.7,2615.24,digital,Manta,suspendida
POL-00024,ASEG-009470,vehiculos,2021-06-20,2022-07-03,771.08,19276.91,963.85,agencia,Guayaquil,mora
POL-00025,ASEG-005931,vehiculos,2022-06-11,2023-06-10,208.2,5204.92,260.25,directo,Quito,vigente
POL-00026,ASEG-003234,salud,2019-10-27,2021-01-12,2736.12,68402.94,3420.15,broker,Cuenca,vencida
POL-00027,ASEG-007116,vehiculos,2023-12-30,2024-12-30,2016.48,50412.12,2520.61,digital,Guayaquil,suspendida
POL-00028,ASEG-010138,salud,2018-05-20,2019-05-14,2196.53,54913.18,2745.66,agencia,Cuenca,mora
POL-00029,ASEG-002372,vehiculos,2026-02-10,2026-10-30,2586.27,64656.76,3232.84,directo,Guayaquil,vigente
POL-00030,ASEG-007954,vehiculos,2021-08-17,2021-11-03,646.55,16163.83,808.19,broker,Guayaquil,vencida
POL-00031,ASEG-009901,hogar,2020-08-05,2022-02-07,841.56,21039.02,1051.95,digital,Manta,suspendida
POL-00032,ASEG-008346,generales,2022-08-24,2023-08-10,729.32,18232.94,911.65,agencia,Guayaquil,mora
POL-00033,ASEG-002149,vehiculos,2022-05-21,2023-09-08,1209.54,30238.48,1511.92,directo,Guayaquil,vigente
POL-00034,ASEG-001564,vehiculos,2019-03-31,2019-10-28,836.64,20915.98,1045.8,broker,Quito,vencida
POL-00035,ASEG-010596,vida,2021-08-06,2022-11-29,2244.81,56120.35,2806.02,digital,Quito,suspendida
POL-00036,ASEG-011771,vehiculos,2022-07-04,2023-07-05,2356.72,58918.1,2945.9,agencia,Guayaquil,mora
POL-00037,ASEG-008609,generales,2021-10-07,2022-11-19,1005.41,25135.18,1256.76,directo,Guayaquil,vigente
POL-00038,ASEG-009605,salud,2025-09-10,2027-03-05,698.15,17453.82,872.69,broker,Cuenca,vencida
POL-00039,ASEG-007566,salud,2023-05-24,2024-05-14,760.27,19006.64,950.33,digital,Cuenca,suspendida
POL-00040,ASEG-005132,vehiculos,2020-05-08,2021-03-21,1012.24,25306.1,1265.3,agencia,Guayaquil,mora
POL-00041,ASEG-002355,hogar,2019-06-24,2020-11-08,927.55,23188.81,1159.44,directo,Manta,vigente
POL-00042,ASEG-011301,salud,2020-05-27,2021-04-02,501.7,12542.52,627.13,broker,Cuenca,vencida
POL-00043,ASEG-004020,generales,2022-02-05,2023-10-29,976.75,24418.64,1220.93,digital,Guayaquil,suspendida
POL-00044,ASEG-008847,vida,2020-11-20,2021-12-13,2408.68,60217.01,3010.85,agencia,Quito,mora
POL-00045,ASEG-011415,vida,2023-01-24,2023-02-14,2204.78,55119.41,2755.97,directo,Quito,vigente
POL-00046,ASEG-005110,vida,2020-04-08,2020-07-24,2271.82,56795.39,2839.77,broker,Quito,vencida
POL-00047,ASEG-001299,vehiculos,2019-08-05,2020-12-10,2286.24,57155.92,2857.8,digital,Guayaquil,suspendida
POL-00048,ASEG-000229,vehiculos,2021-05-03,2022-07-16,2328.44,58211.05,2910.55,agencia,Quito,mora
POL-00049,ASEG-002328,vehiculos,2019-06-17,2020-08-01,773.65,19341.23,967.06,directo,Guayaquil,vigente
POL-00050,ASEG-001897,vida,2020-10-25,2021-04-21,2728.36,68209.01,3410.45,broker,Quito,vencida
POL-00051,ASEG-004853,salud,2021-12-02,2023-05-20,229.67,5741.64,287.08,digital,Cuenca,suspendida
POL-00052,ASEG-010878,vehiculos,2021-01-30,2021-07-05,714.5,17862.43,893.12,agencia,Quito,mora
POL-00053,ASEG-007101,vehiculos,2023-11-19,2025-06-12,1927.84,48195.97,2409.8,directo,Guayaquil,vigente
POL-00054,ASEG-006471,vida,2019-07-13,2020-11-29,2096.62,52415.54,2620.78,broker,Quito,vencida
POL-00055,ASEG-002871,salud,2020-04-10,2020-06-10,206.58,5164.55,258.23,digital,Cuenca,suspendida
POL-00056,ASEG-008775,vida,2018-11-30,2020-06-20,2085.93,52148.34,2607.42,agencia,Quito,mora
POL-00057,ASEG-006368,vehiculos,2020-11-19,2021-12-16,2406.79,60169.66,3008.48,directo,Guayaquil,vigente
POL-00058,ASEG-010695,vehiculos,2019-07-17,2020-09-24,207.69,5192.3,259.62,broker,Guayaquil,vencida
POL-00059,ASEG-000088,vehiculos,2021-06-21,2022-07-26,630.65,15766.3,788.32,digital,Quito,suspendida
POL-00060,ASEG-002311,hogar,2021-10-10,2021-12-19,1425.9,35647.54,1782.38,agencia,Manta,mora
POL-00061,ASEG-004917,vehiculos,2022-04-03,2023-03-07,491.91,12297.71,614.89,directo,Guayaquil,vigente
POL-00062,ASEG-008563,salud,2021-03-30,2021-10-17,529.98,13249.44,662.47,broker,Cuenca,vencida
POL-00063,ASEG-003425,vehiculos,2022-12-07,2023-03-13,193.46,4836.46,241.82,digital,Guayaquil,suspendida
POL-00064,ASEG-003433,salud,2024-02-24,2025-08-11,870.07,21751.84,1087.59,agencia,Cuenca,mora
POL-00065,ASEG-002601,vehiculos,2025-07-20,2026-11-02,913.8,22845.07,1142.25,directo,Guayaquil,vigente
POL-00066,ASEG-010468,salud,2021-09-01,2022-04-06,2530.45,63261.16,3163.06,broker,Cuenca,vencida
POL-00067,ASEG-004003,vehiculos,2023-10-05,2024-01-08,2291.98,57299.47,2864.97,digital,Guayaquil,suspendida
POL-00068,ASEG-009991,vida,2021-06-17,2022-03-11,2609.73,65243.17,3262.16,agencia,Quito,mora
POL-00069,ASEG-010058,vida,2023-04-22,2024-04-21,1468.3,36707.53,1835.38,directo,Quito,vigente
POL-00070,ASEG-003691,vehiculos,2020-06-07,2020-11-25,2000.27,50006.75,2500.34,broker,Guayaquil,vencida
POL-00071,ASEG-007251,vehiculos,2025-04-18,2026-08-17,2364.23,59105.72,2955.29,digital,Quito,suspendida
POL-00072,ASEG-000905,vida,2024-11-04,2025-11-06,2044.26,51106.6,2555.33,agencia,Quito,mora
POL-00073,ASEG-009199,vehiculos,2024-09-03,2026-03-11,694.96,17374.02,868.7,directo,Guayaquil,vigente
POL-00074,ASEG-000504,vehiculos,2025-03-14,2026-02-25,888.54,22213.38,1110.67,broker,Guayaquil,vencida
POL-00075,ASEG-009463,vida,2024-01-27,2024-12-12,1694.6,42365.1,2118.26,digital,Quito,suspendida
POL-00076,ASEG-008518,hogar,2021-10-27,2022-05-25,365.76,9144.01,457.2,agencia,Manta,mora
POL-00077,ASEG-012350,hogar,2019-08-13,2020-11-09,1858.4,46459.93,2323.0,directo,Manta,vigente
POL-00078,ASEG-009478,vehiculos,2024-04-06,2025-02-01,992.2,24804.92,1240.25,broker,Quito,vencida
POL-00079,ASEG-010612,vehiculos,2024-10-15,2025-07-22,1960.29,49007.34,2450.37,digital,Guayaquil,suspendida
POL-00080,ASEG-001077,vida,2025-04-04,2026-07-31,2072.55,51813.65,2590.68,agencia,Quito,mora
POL-00081,ASEG-005684,vida,2024-10-01,2025-12-07,2064.02,51600.49,2580.02,directo,Quito,vigente
POL-00082,ASEG-004156,hogar,2024-02-01,2024-03-22,2178.16,54453.88,2722.69,broker,Manta,vencida
POL-00083,ASEG-011743,hogar,2020-08-24,2021-12-04,593.39,14834.74,741.74,digital,Manta,suspendida
POL-00084,ASEG-005175,vehiculos,2022-01-25,2023-02-05,1556.73,38918.23,1945.91,agencia,Guayaquil,mora
POL-00085,ASEG-000009,vida,2019-08-08,2020-12-20,1417.83,35445.78,1772.29,directo,Quito,vigente
POL-00086,ASEG-002048,hogar,2020-03-16,2022-02-15,534.49,13362.37,668.12,broker,Manta,vencida
POL-00087,ASEG-008945,salud,2024-07-10,2025-02-02,414.61,10365.22,518.26,digital,Cuenca,suspendida
POL-00088,ASEG-006312,vehiculos,2022-08-05,2022-11-08,726.8,18170.12,908.51,agencia,Guayaquil,mora
POL-00089,ASEG-002781,vehiculos,2022-08-05,2023-01-24,1094.69,27367.33,1368.37,directo,Guayaquil,vigente
POL-00091,ASEG-001740,hogar,2020-02-14,2021-08-27,1806.44,45160.93,2258.05,broker,Manta,vencida
POL-00092,ASEG-007126,vehiculos,2019-03-07,2020-11-14,954.84,23871.11,1193.56,digital,Guayaquil,suspendida
POL-00093,ASEG-002581,salud,2024-01-22,2025-11-04,887.59,22189.86,1109.49,agencia,Cuenca,mora
POL-00094,ASEG-009722,vehiculos,2021-10-29,2023-01-25,373.58,9339.62,466.98,directo,Quito,vigente
POL-00095,ASEG-005309,vehiculos,2018-10-30,2019-11-22,192.05,4801.28,240.06,broker,Guayaquil,vencida
POL-00096,ASEG-007168,vida,2022-06-07,2023-05-12,2237.47,55936.82,2796.84,digital,Quito,suspendida
POL-00097,ASEG-002774,vehiculos,2024-05-01,2025-05-29,514.19,12854.69,642.73,agencia,Quito,mora
POL-00098,ASEG-005402,hogar,2025-01-09,2026-05-04,2470.72,61768.1,3088.4,directo,Manta,vigente
POL-00099,ASEG-000745,salud,2022-01-16,2023-05-24,800.61,20015.15,1000.76,broker,Cuenca,vencida
POL-00100,ASEG-002179,generales,2023-08-29,2023-11-24,581.32,14533.09,726.65,digital,Cuenca,suspendida
POL-00101,ASEG-007100,vehiculos,2022-06-03,2022-08-12,2431.57,60789.22,3039.46,agencia,Quito,mora
POL-00102,ASEG-011544,vehiculos,2025-12-29,2026-09-01,882.4,22060.09,1103.0,directo,Guayaquil,vigente
POL-00103,ASEG-005904,hogar,2020-12-31,2021-04-04,2319.92,57998.11,2899.91,broker,Manta,vencida
POL-00104,ASEG-000220,vida,2024-07-19,2025-08-13,1924.92,48122.95,2406.15,digital,Quito,suspendida
POL-00105,ASEG-006857,vehiculos,2020-08-04,2020-11-21,1820.78,45519.55,2275.98,agencia,Guayaquil,mora
POL-00106,ASEG-004764,vida,2018-06-15,2018-12-31,1653.61,41340.28,2067.01,directo,Quito,vigente
POL-00107,ASEG-010606,hogar,2018-11-25,2020-03-20,275.73,6893.36,344.67,broker,Manta,vencida
POL-00108,ASEG-004896,vehiculos,2020-03-21,2020-11-08,1010.44,25260.94,1263.05,digital,Quito,suspendida
POL-00109,ASEG-003313,vehiculos,2024-11-04,2025-09-27,2592.41,64810.19,3240.51,agencia,Guayaquil,mora
POL-00110,ASEG-005263,vehiculos,2025-08-23,2025-09-18,2604.55,65113.69,3255.68,directo,Guayaquil,vigente
POL-00111,ASEG-010092,vehiculos,2018-12-06,2019-03-04,1755.72,43892.89,2194.64,broker,Guayaquil,vencida
POL-00112,ASEG-009125,hogar,2025-03-11,2026-09-17,294.89,7372.18,368.61,digital,Manta,suspendida
POL-00113,ASEG-007754,vehiculos,2019-05-28,2020-02-07,141.07,3526.86,176.34,agencia,Guayaquil,mora
POL-00114,ASEG-009667,salud,2020-02-06,2020-10-18,2623.57,65589.31,3279.47,directo,Cuenca,vigente
POL-00115,ASEG-000550,vehiculos,2026-09-06,2027-09-06,2340.89,58522.13,2926.11,broker,Guayaquil,vencida
POL-00116,ASEG-002348,hogar,2020-08-29,2021-02-15,1440.64,36016.08,1800.8,digital,Manta,suspendida
POL-00117,ASEG-009869,hogar,2023-11-11,2024-10-05,786.22,19655.46,982.77,agencia,Manta,mora
POL-00118,ASEG-004248,vehiculos,2018-10-20,2020-01-10,2264.09,56602.33,2830.12,directo,Quito,vigente
POL-00119,ASEG-006292,vehiculos,2022-10-29,2023-06-10,1142.05,28551.3,1427.56,broker,Guayaquil,vencida
POL-00120,ASEG-005887,vehiculos,2019-12-22,2021-06-16,1033.62,25840.62,1292.03,digital,Quito,suspendida
POL-00121,ASEG-008087,hogar,2024-05-21,2025-11-08,530.03,13250.65,662.53,agencia,Manta,mora
POL-00122,ASEG-002369,salud,2026-03-21,2026-09-05,2620.22,65505.48,3275.27,directo,Cuenca,vigente
POL-00123,ASEG-010925,vehiculos,2024-06-24,2025-04-01,1233.97,30849.29,1542.46,broker,Guayaquil,vencida
POL-00124,ASEG-000599,salud,2023-04-21,2024-12-14,420.86,10521.47,526.07,digital,Cuenca,suspendida
POL-00125,ASEG-009173,vehiculos,2022-12-18,2023-08-30,489.31,12232.74,611.64,agencia,Quito,mora
POL-00126,ASEG-011257,vida,2021-05-09,2021-11-07,2175.57,54389.18,2719.46,directo,Quito,vigente
POL-00127,ASEG-005184,hogar,2021-09-09,2022-12-17,2619.02,65475.41,3273.77,broker,Manta,vencida
POL-00128,ASEG-008128,vehiculos,2021-06-10,2022-04-08,1098.99,27474.86,1373.74,digital,Guayaquil,suspendida
POL-00129,ASEG-001925,hogar,2021-08-09,2022-10-15,476.96,11923.96,596.2,agencia,Manta,mora
POL-00130,ASEG-012422,vehiculos,2022-07-01,2023-10-07,1017.39,25434.7,1271.74,directo,Guayaquil,vigente
POL-00131,ASEG-007152,vehiculos,2022-11-18,2023-02-08,208.3,5207.5,260.38,broker,Quito,vencida
POL-00132,ASEG-000287,vehiculos,2023-05-16,2024-04-08,178.2,4454.95,222.75,digital,Quito,suspendida
POL-00133,ASEG-009269,vehiculos,2025-06-18,2026-02-13,632.45,15811.21,790.56,agencia,Quito,mora
POL-00134,ASEG-004654,vida,2020-05-03,2020-07-11,2549.71,63742.86,3187.14,directo,Quito,vigente
POL-00135,ASEG-011301,vehiculos,2025-05-06,2026-11-26,225.9,5647.54,282.38,broker,Guayaquil,vencida
POL-00136,ASEG-010543,generales,2020-05-19,2022-05-02,612.27,15306.76,765.34,digital,Guayaquil,suspendida
POL-00137,ASEG-001817,vida,2022-01-16,2023-02-12,2745.73,68643.13,3432.16,agencia,Quito,mora
POL-00138,ASEG-008674,vehiculos,2018-03-29,2019-08-13,2324.16,58103.9,2905.2,directo,Guayaquil,vigente
POL-00139,ASEG-002031,vida,2021-11-20,2022-10-03,2045.43,51135.73,2556.79,broker,Quito,vencida
POL-00140,ASEG-007579,hogar,2021-01-31,2021-08-25,460.84,11521.06,576.05,digital,Manta,suspendida
POL-00141,ASEG-005938,vehiculos,2021-02-22,2022-01-05,786.74,19668.41,983.42,agencia,Guayaquil,mora
POL-00143,ASEG-000083,vehiculos,2026-01-05,2026-06-20,184.76,4619.02,230.95,directo,Quito,vigente
POL-00144,ASEG-012285,hogar,2020-06-28,2021-11-18,1669.74,41743.57,2087.18,broker,Manta,vencida
POL-00145,ASEG-011542,generales,2023-03-23,2023-12-12,174.52,4362.88,218.14,digital,Guayaquil,suspendida
POL-00146,ASEG-000578,vida,2024-04-14,2025-05-13,2481.15,62028.84,3101.44,agencia,Quito,mora
POL-00147,ASEG-006917,salud,2023-06-20,2025-02-18,47.34,1183.62,59.18,directo,Cuenca,vigente
POL-00148,ASEG-008279,generales,2021-12-02,2022-01-22,2305.2,57630.0,2881.5,broker,Guayaquil,vencida
POL-00149,ASEG-004156,hogar,2021-04-16,2021-11-16,2822.24,70555.99,3527.8,digital,Manta,suspendida
POL-00150,ASEG-009708,salud,2025-03-30,2026-03-02,492.93,12323.26,616.16,agencia,Cuenca,mora
POL-00151,ASEG-001893,vida,2025-01-24,2026-05-14,1737.92,43447.91,2172.4,directo,Quito,vigente
POL-00152,ASEG-003532,vehiculos,2023-01-08,2024-09-12,768.71,19217.68,960.88,broker,Guayaquil,vencida
POL-00153,ASEG-001971,hogar,2020-06-05,2021-04-04,712.65,17816.17,890.81,digital,Manta,suspendida
POL-00154,ASEG-010109,hogar,2019-07-13,2020-06-11,2289.93,57248.23,2862.41,agencia,Manta,mora
POL-00155,ASEG-011432,vehiculos,2022-06-27,2023-01-01,392.07,9801.71,490.09,directo,Guayaquil,vigente
POL-00156,ASEG-005504,vehiculos,2020-03-08,2021-11-29,200.5,5012.44,250.62,broker,Quito,vencida
POL-00157,ASEG-001439,vida,2024-09-21,2025-06-04,2176.96,54423.9,2721.2,digital,Quito,suspendida
POL-00159,ASEG-005136,vehiculos,2019-06-08,2021-02-02,750.85,18771.26,938.56,agencia,Guayaquil,mora
POL-00160,ASEG-001548,vehiculos,2024-05-25,2025-02-02,954.34,23858.4,1192.92,directo,Quito,vigente
POL-00161,ASEG-006345,vehiculos,2020-09-21,2021-06-13,402.16,10053.97,502.7,broker,Quito,vencida
POL-00162,ASEG-008835,salud,2020-03-02,2020-03-23,956.28,23906.96,1195.35,digital,Cuenca,suspendida
POL-00163,ASEG-006653,vehiculos,2021-06-03,2022-01-31,961.4,24035.05,1201.75,agencia,Guayaquil,mora
POL-00164,ASEG-009186,salud,2018-09-01,2019-01-04,1190.95,29773.74,1488.69,directo,Cuenca,vigente
POL-00165,ASEG-002775,vehiculos,2019-11-05,2020-01-23,512.29,12807.13,640.36,broker,Quito,vencida
POL-00166,ASEG-003769,hogar,2018-05-28,2020-01-29,350.4,8760.02,438.0,digital,Manta,suspendida
POL-00167,ASEG-009894,vida,2020-09-03,2022-04-09,2836.24,70906.06,3545.3,agencia,Quito,mora
POL-00168,ASEG-003392,hogar,2022-03-01,2022-06-25,2380.76,59518.92,2975.95,directo,Manta,vigente
POL-00169,ASEG-002918,vida,2021-11-24,2022-08-06,2278.81,56970.32,2848.52,broker,Quito,vencida
POL-00170,ASEG-008207,vehiculos,2023-12-05,2024-05-13,1771.2,44279.93,2214.0,digital,Guayaquil,suspendida
POL-00171,ASEG-004821,vehiculos,2024-06-30,2024-12-19,167.57,4189.14,209.46,agencia,Quito,mora
POL-00172,ASEG-007819,vehiculos,2025-12-05,2027-03-02,641.93,16048.15,802.41,directo,Guayaquil,vigente
POL-00173,ASEG-008147,salud,2025-01-14,2026-10-05,963.51,24087.65,1204.38,broker,Cuenca,vencida
POL-00174,ASEG-003199,vehiculos,2021-01-06,2021-05-13,1258.35,31458.78,1572.94,digital,Guayaquil,suspendida
POL-00175,ASEG-005052,hogar,2024-09-04,2025-05-11,818.19,20454.82,1022.74,agencia,Manta,mora
POL-00176,ASEG-006562,vehiculos,2026-10-13,2026-10-03,504.02,12600.38,630.02,directo,Guayaquil,vigente
POL-00177,ASEG-011039,vehiculos,2025-10-24,2026-09-02,983.61,24590.28,1229.51,broker,Guayaquil,vencida
POL-00178,ASEG-002172,vehiculos,2018-04-17,2019-06-05,318.03,7950.8,397.54,digital,Quito,suspendida
POL-00179,ASEG-006682,vehiculos,2019-10-13,2019-11-25,1042.82,26070.59,1303.53,agencia,Guayaquil,mora
POL-00180,ASEG-009662,hogar,2020-10-19,2021-12-19,920.92,23022.88,1151.14,directo,Manta,vigente
POL-00181,ASEG-012480,hogar,2018-05-15,2019-06-21,659.07,16476.64,823.83,broker,Manta,vencida
POL-00182,ASEG-010890,vehiculos,2024-06-02,2025-05-16,904.0,22599.94,1130.0,digital,Guayaquil,suspendida
POL-00183,ASEG-004629,vehiculos,2019-04-23,2020-10-09,639.13,15978.16,798.91,agencia,Guayaquil,mora
POL-00184,ASEG-007873,vida,2025-04-04,2025-08-25,1615.02,40375.45,2018.77,directo,Quito,vigente
POL-00185,ASEG-003671,salud,2023-03-14,2024-03-04,873.37,21834.36,1091.72,broker,Cuenca,vencida
POL-00186,ASEG-009404,vida,2025-10-21,2026-10-06,2376.95,59423.84,2971.19,digital,Quito,suspendida
POL-00187,ASEG-009149,generales,2018-06-03,2019-02-17,2197.34,54933.58,2746.68,agencia,Guayaquil,mora
POL-00188,ASEG-002549,salud,2023-12-13,2024-11-05,727.12,18178.1,908.9,directo,Cuenca,vigente
POL-00189,ASEG-009615,vida,2025-05-29,2026-10-29,2498.29,62457.14,3122.86,broker,Quito,vencida
POL-00190,ASEG-001516,vehiculos,2024-05-13,2025-07-17,2627.12,65677.99,3283.9,digital,Guayaquil,suspendida
POL-00191,ASEG-006261,salud,2023-01-19,2023-11-20,227.84,5695.92,284.8,agencia,Cuenca,mora
POL-00192,ASEG-004951,salud,2024-10-20,2026-01-27,440.51,11012.72,550.64,directo,Cuenca,vigente
POL-00193,ASEG-008893,vehiculos,2023-11-24,2024-10-18,465.98,11649.61,582.48,broker,Quito,vencida
POL-00194,ASEG-010858,vida,2024-06-27,2025-05-02,1027.23,25680.68,1284.03,digital,Quito,suspendida
POL-00195,ASEG-000656,salud,2020-12-05,2021-04-22,259.63,6490.68,324.53,agencia,Cuenca,mora
POL-00196,ASEG-005078,generales,2025-08-27,2027-04-10,1081.83,27045.83,1352.29,directo,Cuenca,vigente
POL-00197,ASEG-009709,salud,2021-04-20,2021-10-29,1400.97,35024.24,1751.21,broker,Cuenca,vencida
POL-00198,ASEG-009167,hogar,2020-01-21,2021-07-11,529.78,13244.4,662.22,digital,Manta,suspendida
POL-00199,ASEG-006688,vehiculos,2023-04-26,2023-09-14,1100.25,27506.22,1375.31,agencia,Guayaquil,mora
POL-00200,ASEG-008704,vehiculos,2022-11-03,2024-06-02,163.24,4080.91,204.05,directo,Guayaquil,vigente
POL-00201,ASEG-002761,vida,2021-02-11,2022-01-18,2336.2,58404.95,2920.25,broker,Quito,vencida
POL-00202,ASEG-012283,salud,2019-02-09,2020-10-25,437.77,10944.16,547.21,digital,Cuenca,suspendida
POL-00203,ASEG-010323,vehiculos,2020-01-05,2020-12-08,1763.76,44093.98,2204.7,agencia,Guayaquil,mora
POL-00204,ASEG-005067,vida,2026-09-24,2026-12-25,1428.69,35717.36,1785.87,directo,Quito,vigente
POL-00205,ASEG-006629,vehiculos,2026-03-05,2026-12-29,782.41,19560.14,978.01,broker,Quito,vencida
POL-00206,ASEG-000804,vehiculos,2024-09-21,2025-07-27,181.14,4528.5,226.42,digital,Guayaquil,suspendida
POL-00207,ASEG-001755,vehiculos,2018-11-25,2019-12-09,1889.2,47230.04,2361.5,agencia,Guayaquil,mora
POL-00208,ASEG-008556,vehiculos,2020-11-28,2021-12-15,888.8,22220.09,1111.0,directo,Guayaquil,vigente
POL-00209,ASEG-000786,salud,2022-08-30,2023-06-26,1744.93,43623.16,2181.16,broker,Cuenca,vencida
POL-00210,ASEG-001741,vida,2023-02-21,2023-06-11,843.99,21099.79,1054.99,digital,Quito,suspendida
POL-00211,ASEG-008404,vehiculos,2022-05-25,2023-01-31,2203.57,55089.37,2754.47,agencia,Guayaquil,mora
POL-00212,ASEG-005433,vehiculos,2019-09-15,2020-06-07,401.93,10048.27,502.41,directo,Quito,vigente
POL-00213,ASEG-004244,hogar,2020-11-17,2021-12-19,277.5,6937.43,346.87,broker,Manta,vencida
POL-00214,ASEG-005946,hogar,2026-08-30,2026-11-13,333.2,8330.02,416.5,digital,Manta,suspendida
POL-00215,ASEG-009287,salud,2018-09-10,2019-09-19,1521.27,38031.65,1901.58,agencia,Cuenca,mora
POL-00216,ASEG-009454,vehiculos,2020-11-06,2021-06-04,182.17,4554.3,227.72,directo,Quito,vigente
POL-00217,ASEG-010463,vehiculos,2021-02-25,2021-03-25,641.45,16036.28,801.81,broker,Quito,vencida
POL-00218,ASEG-000482,vida,2024-08-08,2024-06-18,2588.86,64721.54,3236.08,digital,Quito,suspendida
POL-00219,ASEG-009780,vehiculos,2026-10-17,2027-05-14,966.01,24150.37,1207.52,agencia,Guayaquil,mora
POL-00220,ASEG-003429,vida,2026-06-01,2027-07-20,2509.47,62736.7,3136.84,directo,Quito,vigente
POL-00221,ASEG-011672,hogar,2019-12-28,2020-03-30,1687.6,42190.1,2109.5,broker,Manta,vencida
POL-00222,ASEG-001232,vida,2019-03-15,2020-05-27,1795.3,44882.52,2244.13,digital,Quito,suspendida
POL-00223,ASEG-009028,hogar,2021-06-30,2022-05-02,581.99,14549.72,727.49,agencia,Manta,mora
POL-00224,ASEG-001222,vehiculos,2026-01-15,2027-02-06,2542.59,63564.72,3178.24,directo,Guayaquil,vigente
POL-00225,ASEG-009184,vehiculos,2025-06-29,2026-06-03,566.55,14163.84,708.19,broker,Quito,vencida
POL-00226,ASEG-001862,generales,2026-08-09,2026-08-18,2805.97,70149.19,3507.46,digital,Guayaquil,suspendida
POL-00227,ASEG-009308,hogar,2018-12-11,2019-07-15,436.41,10910.2,545.51,agencia,Manta,mora
POL-00228,ASEG-008187,salud,2026-02-21,2027-01-03,2064.57,51614.26,2580.71,directo,Cuenca,vigente
POL-00229,ASEG-010433,vehiculos,2019-04-03,2019-06-08,2667.31,66682.85,3334.14,broker,Guayaquil,vencida
POL-00230,ASEG-002563,vehiculos,2022-08-27,2024-07-31,1802.17,45054.34,2252.72,digital,Guayaquil,suspendida
POL-00231,ASEG-003001,vehiculos,2020-12-13,2021-09-17,737.0,18424.94,921.25,agencia,Guayaquil,mora
POL-00232,ASEG-004585,hogar,2022-02-12,2023-02-28,1625.69,40642.26,2032.11,directo,Manta,vigente
POL-00233,ASEG-008788,vida,2020-08-17,2022-03-18,2456.06,61401.41,3070.07,broker,Quito,vencida
POL-00234,ASEG-008584,vida,2023-12-12,2024-05-24,2399.53,59988.3,2999.42,digital,Quito,suspendida
POL-00235,ASEG-010787,vehiculos,2020-10-13,2021-01-31,1951.38,48784.38,2439.22,agencia,Guayaquil,mora
POL-00236,ASEG-008741,vida,2025-05-14,2026-03-28,1992.28,49807.02,2490.35,directo,Quito,vigente
